crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10096,6,0,0,0,0,0,0,0,0,0,0,0,0,4,26.916666666666668
Crew_10097,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22.05
Crew_10098,2,0,0,0,0,0,0,0,0,0,0,0,0,3,14.266666666666666
Crew_10099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.8
Crew_10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10101,5,0,0,0,0,0,0,0,0,0,0,0,0,4,20.066666666666666
Crew_10103,7,0,0,0,0,0,0,0,0,0,0,0,0,4,23.183333333333334
Crew_10104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10105,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10.216666666666667
Crew_10106,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22.833333333333332
Crew_10107,7,0,0,0,0,0,0,0,0,0,0,0,0,3,21.100000000000005
Crew_10108,2,0,0,0,0,0,0,0,0,0,2,0,0,6,33.133333333333326
Crew_10109,5,0,0,0,0,0,0,0,0,0,0,0,0,4,27.93333333333333
Crew_10110,5,0,0,0,0,0,0,0,0,0,0,0,0,4,25.28333333333333
Crew_10113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10114,6,0,0,0,0,0,0,0,0,0,0,0,0,4,24.900000000000002
Crew_10115,7,0,0,0,0,0,0,0,0,0,0,0,0,4,28.083333333333332
Crew_10116,7,0,0,0,0,0,0,0,0,0,0,0,0,4,22.7
Crew_10117,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22.450000000000003
Crew_10118,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.85
Crew_10119,5,0,0,0,0,0,0,0,0,0,0,0,0,4,21.266666666666666
Crew_10120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.883333333333333
Crew_10123,6,0,0,0,0,0,0,0,0,0,0,0,0,4,16.68333333333333
Crew_10124,7,0,0,0,0,0,0,0,0,0,0,0,0,4,24.4
Crew_10125,7,0,0,0,0,0,0,0,0,0,0,0,0,4,24.383333333333333
Crew_10126,7,0,0,0,0,0,0,0,0,0,0,0,0,3,21.133333333333333
Crew_10127,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.43333333333333
Crew_10128,2,0,0,0,0,0,0,0,0,0,2,0,0,6,31.78333333333333
Crew_10129,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.516666666666666
Crew_10131,3,0,0,0,0,0,0,0,0,0,0,0,0,5,29.133333333333333
Crew_10133,5,0,0,0,0,0,0,0,0,0,0,0,0,4,26.916666666666664
Crew_10134,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10135,6,0,0,0,0,0,0,0,0,0,0,0,0,4,24.000000000000004
Crew_10136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.2
Crew_10137,4,0,0,0,0,0,0,0,0,0,2,0,0,6,34.26666666666666
Crew_10138,6,0,0,0,0,0,0,0,0,0,1,0,0,5,20.849999999999998
Crew_10139,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17.316666666666666
Crew_10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10141,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.416666666666668
Crew_10142,7,0,0,0,0,0,0,0,0,0,0,0,0,3,18.45
Crew_10143,2,0,0,0,0,0,0,0,0,0,0,0,0,5,29.333333333333332
Crew_10145,6,0,0,0,0,0,0,0,0,0,0,0,0,4,28.63333333333333
Crew_10146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.933333333333333
Crew_10147,7,0,0,0,0,0,0,0,0,0,0,0,0,4,19.45
Crew_10148,4,0,0,0,0,0,0,0,0,0,0,0,0,4,22.900000000000002
Crew_10150,6,0,0,0,0,0,0,0,0,0,0,0,0,4,25.166666666666664
Crew_10151,6,0,0,0,0,0,0,0,0,0,0,0,0,4,21.616666666666667
Crew_10152,6,0,0,0,0,0,0,0,0,0,0,0,0,4,19.85
Crew_10153,4,0,0,0,0,0,0,0,0,0,1,0,0,5,21.249999999999996
Crew_10155,5,0,0,0,0,0,0,0,0,0,0,0,0,4,24.28333333333333
Crew_10156,5,0,0,0,0,0,0,0,0,0,0,0,0,4,18.566666666666666
Crew_10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10159,4,0,0,0,0,0,0,0,0,0,0,0,0,3,19.2
Crew_10160,4,0,0,0,0,0,0,0,0,0,2,0,0,6,29.933333333333334
Crew_10162,6,0,0,0,0,0,0,0,0,0,0,0,0,4,24.400000000000002
Crew_10163,4,0,0,0,0,0,0,0,0,0,0,0,0,4,18.283333333333335
Crew_10165,2,0,0,0,0,0,0,0,0,0,0,0,0,3,19.633333333333333
Crew_10166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10167,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17.95
Crew_10168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10171,2,0,0,0,0,0,0,0,0,0,2,0,0,6,32.266666666666666
Crew_10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10173,4,0,0,0,0,0,0,0,0,0,0,0,0,4,20.48333333333333
Crew_10174,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10176,3,0,0,0,0,0,0,0,0,0,1,0,0,6,33.416666666666664
Crew_10177,4,0,0,0,0,0,0,0,0,0,0,0,0,4,22.633333333333333
Crew_10178,6,0,0,0,0,0,0,0,0,0,0,0,0,3,20.03333333333333
Crew_10179,5,0,0,0,0,0,0,0,0,0,0,0,0,4,17.983333333333334
Crew_10180,6,0,0,0,0,0,0,0,0,0,0,0,0,4,18.56666666666667
Crew_10181,7,0,0,0,0,0,0,0,0,0,0,0,0,4,23.383333333333336
Crew_10182,5,0,0,0,0,0,0,0,0,0,0,0,0,5,20.366666666666667
Crew_10184,6,0,0,0,0,0,0,0,0,0,0,0,0,4,17.0
Crew_10185,7,0,0,0,0,0,0,0,0,0,0,0,0,4,22.550000000000004
Crew_10186,5,0,0,0,0,0,0,0,0,0,2,0,0,6,28.66666666666667
Crew_10187,1,0,0,0,0,0,0,0,0,0,1,0,0,3,16.900000000000002
Crew_10190,7,0,0,0,0,0,0,0,0,0,0,0,0,4,25.883333333333336
Crew_10191,3,0,0,0,0,0,0,0,0,0,2,0,0,6,30.233333333333334
Crew_10192,4,0,0,0,0,0,0,0,0,0,0,0,0,4,22.48333333333333
Crew_10193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.416666666666666
Crew_10195,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17.916666666666668
Crew_10196,6,0,0,0,0,0,0,0,0,0,0,0,0,4,27.8
Crew_10197,5,0,0,0,0,0,0,0,0,0,0,0,0,4,20.166666666666664
Crew_10198,6,0,0,0,0,0,0,0,0,0,0,0,0,4,16.833333333333332
Crew_10199,5,0,0,0,0,0,0,0,0,0,0,0,0,3,13.583333333333334
Crew_10200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.616666666666667
Crew_10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10205,6,0,0,0,0,0,0,0,0,0,0,0,0,4,20.266666666666666
Crew_10206,4,0,0,0,0,0,0,0,0,0,0,0,0,4,25.81666666666667
Crew_10207,5,0,0,0,0,0,0,0,0,0,0,0,0,4,19.0
Crew_10209,5,0,0,0,0,0,0,0,0,0,0,0,0,4,19.61666666666667
Crew_10210,3,0,0,0,0,0,0,0,0,0,1,0,0,5,26.08333333333333
Crew_10211,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.96666666666667
Crew_10212,6,0,0,0,0,0,0,0,0,0,0,0,0,4,20.0
Crew_10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10215,0,0,0,0,0,0,0,0,0,0,2,0,0,6,40.550000000000004
Crew_10216,5,0,0,0,0,0,0,0,0,0,0,0,0,3,12.149999999999999
Crew_10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10218,5,0,0,0,0,0,0,0,0,0,0,0,0,4,24.25
Crew_10219,4,0,0,0,0,0,0,0,0,0,1,0,0,5,20.099999999999998
Crew_10220,5,0,0,0,0,0,0,0,0,0,0,0,0,3,15.150000000000002
Crew_10221,3,0,0,0,0,0,0,0,0,0,0,0,0,4,24.116666666666667
Crew_10223,2,0,0,0,0,0,0,0,0,0,0,0,0,5,26.133333333333326
Crew_10224,5,0,0,0,0,0,0,0,0,0,0,0,0,4,18.899999999999995
Crew_10225,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.583333333333334
Crew_10226,6,0,0,0,0,0,0,0,0,0,0,0,0,2,13.133333333333333
Crew_10227,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.78333333333333
Crew_10228,3,0,0,0,0,0,0,0,0,0,0,0,0,5,30.5
Crew_10231,5,0,0,0,0,0,0,0,0,0,0,0,0,4,13.883333333333333
Crew_10232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10233,6,0,0,0,0,0,0,0,0,0,0,0,0,3,17.65
Crew_10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10239,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17.2
Crew_10241,4,0,0,0,0,0,0,0,0,0,0,0,0,5,16.433333333333334
Crew_10242,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3.0999999999999996
Crew_10243,2,0,0,0,0,0,0,0,0,0,0,0,0,3,19.55
Crew_10244,3,0,0,0,0,0,0,0,0,0,2,0,0,6,21.299999999999997
Crew_10249,4,0,0,0,0,0,0,0,0,0,0,0,0,4,18.016666666666666
Crew_10250,6,0,0,0,0,0,0,0,0,0,0,0,0,4,17.283333333333335
Crew_10251,4,0,0,0,0,0,0,0,0,0,0,0,0,3,17.233333333333334
Crew_10252,6,0,0,0,0,0,0,0,0,0,0,0,0,3,16.716666666666665
Crew_10253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10254,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1.85
Crew_10255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10256,5,0,0,0,0,0,0,0,0,0,0,0,0,3,17.2
Crew_10257,4,0,0,0,0,0,0,0,0,0,0,0,0,4,22.599999999999998
Crew_10258,4,0,0,0,0,0,0,0,0,0,0,0,0,3,17.950000000000003
